threshold_name,roc_auc,sensitivity,specificity,f1,accuracy,balanced_accuracy,threshold,tn,fp,fn,tp
screening_min_sensitivity_0_90,0.9973118279569892,1.0,0.6666666666666666,0.9393939393939394,0.9069767441860465,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,31.0
youden_j,0.9973118279569892,0.22580645161290322,1.0,0.3684210526315789,0.4418604651162791,0.6129032258064516,0.9787013530731201,12.0,0.0,24.0,7.0
default_0_5,0.9973118279569892,1.0,0.5833333333333334,0.9253731343283582,0.8837209302325582,0.7916666666666667,0.5,7.0,5.0,0.0,31.0
